species,state,hucname,common_name,dataset,station_date,site_id,year,month,ecoregl3,lat_dd,lon_dd,huc,bighuc,fe,mn,tp,ca,so4,no3,cl,alk,do,temp,rbpscore,genus,abund,sumcount,ws_area,lwskm2,num,mg,na,k,hco3,tn,al,se,cadmium,calcium,yearmonth
Ambloplites rupestris,OH,,Rock Bass,OH,200282_38909,200282,2006,8,70,38.9883,-83.3328,506,500,,,,,,,,,,,69.5,"Ambloplites,Ambloplites rupestris",9.0,553.0,20.0,1.301029996,1.0,,,,,,,,,,2006-08
Campostoma anomalum,OH,,Central Stoneroller,OH,200282_38909,200282,2006,8,70,38.9883,-83.3328,506,500,,,,,,,,,,,69.5,"Campostoma,Campostoma anomalum",58.0,553.0,20.0,1.301029996,1.0,,,,,,,,,,2006-08
Catostomus commersonii,OH,,White Sucker,OH,200282_38909,200282,2006,8,70,38.9883,-83.3328,506,500,,,,,,,,,,,69.5,"Catostomus,Catostomus commersonii",7.0,553.0,20.0,1.301029996,1.0,,,,,,,,,,2006-08
Chrosomus erythrogaster,OH,,South. Redbelly Dace,OH,200282_38909,200282,2006,8,70,38.9883,-83.3328,506,500,,,,,,,,,,,69.5,"Chrosomus,Chrosomus erythrogaster",7.0,553.0,20.0,1.301029996,1.0,,,,,,,,,,2006-08
Clinostomus funduloides,OH,,Rosyside Dace,OH,200282_38909,200282,2006,8,70,38.9883,-83.3328,506,500,,,,,,,,,,,69.5,"Clinostomus,Clinostomus funduloides",3.0,553.0,20.0,1.301029996,1.0,,,,,,,,,,2006-08
Etheostoma caeruleum,OH,,Rainbow Darter,OH,200282_38909,200282,2006,8,70,38.9883,-83.3328,506,500,,,,,,,,,,,69.5,"Etheostoma,Etheostoma caeruleum",3.0,553.0,20.0,1.301029996,1.0,,,,,,,,,,2006-08
Notropis buccatus,OH,50400041003,Silverjaw Minnow,OH,201308_41452,201308,2013,6,70,39.461973,-81.821258,504,500,,,,,,,,,,,,"Notropis,Notropis buccatus",6.0,349.0,6.0,0.77815125,1.0,,,,,,,,,,2013-06
Pimephales notatus,OH,50400041003,Bluntnose Minnow,OH,201308_41452,201308,2013,6,70,39.461973,-81.821258,504,500,,,,,,,,,,,,"Pimephales,Pimephales notatus",7.0,349.0,6.0,0.77815125,1.0,,,,,,,,,,2013-06
Rhinichthys obtusus,OH,50400041003,Western Blacknose Dace,OH,201308_41452,201308,2013,6,70,39.461973,-81.821258,504,500,,,,,,,,,,,,"Rhinichthys,Rhinichthys obtusus",61.0,349.0,6.0,0.77815125,1.0,,,,,,,,,,2013-06
Semotilus atromaculatus,OH,50400041003,Creek Chub,OH,201308_41452,201308,2013,6,70,39.461973,-81.821258,504,500,,,,,,,,,,,,"Semotilus,Semotilus atromaculatus",143.0,349.0,6.0,0.77815125,1.0,,,,,,,,,,2013-06
Ambloplites rupestris,OH,50400041002,Rock Bass,OH,201309_41501,201309,2013,8,70,39.483973,-81.792357,504,500,,,,3595.649264,659.7666962,50.0,270.7795065,3636.817784,,,,"Ambloplites,Ambloplites rupestris",2.0,323.0,31.0,1.491361694,1.0,1152.023488,347.9808628,51.15310611,3638.329109,50.0,,,,,2013-08
Campostoma anomalum,OH,50400041002,Central Stoneroller,OH,201309_41501,201309,2013,8,70,39.483973,-81.792357,504,500,,,,3595.649264,659.7666962,50.0,270.7795065,3636.817784,,,,"Campostoma,Campostoma anomalum",4.0,323.0,31.0,1.491361694,1.0,1152.023488,347.9808628,51.15310611,3638.329109,50.0,,,,,2013-08
Catostomus commersonii,OH,50400041002,White Sucker,OH,201309_41501,201309,2013,8,70,39.483973,-81.792357,504,500,,,,3595.649264,659.7666962,50.0,270.7795065,3636.817784,,,,"Catostomus,Catostomus commersonii",25.0,323.0,31.0,1.491361694,1.0,1152.023488,347.9808628,51.15310611,3638.329109,50.0,,,,,2013-08
Etheostoma blennioides,OH,50400041002,Greenside Darter,OH,201309_41501,201309,2013,8,70,39.483973,-81.792357,504,500,,,,3595.649264,659.7666962,50.0,270.7795065,3636.817784,,,,"Etheostoma,Etheostoma blennioides",2.0,323.0,31.0,1.491361694,1.0,1152.023488,347.9808628,51.15310611,3638.329109,50.0,,,,,2013-08
