species_common_name,taxon_class,overall_sample_size,overall_mle,overall_ci_lower,overall_ci_upper,male_sample_size,male_mle,male_ci_lower,male_ci_upper,female_sample_size,female_mle,female_ci_lower,female_ci_upper,male_data_deficient,female_data_deficient
Addax,"Mammalia,Addax nasomaculatus",1215,13.4,12.4,14.5,558.0,12.3,10.5,14.7,656.0,14.4,13.0,15.1,,
"Agouti, Brazilian","Mammalia,Dasyprocta leporina",456,8.1,7.2,9.3,216.0,8.8,6.9,10.3,220.0,7.8,6.8,8.6,,
"Alligator, Chinese","Reptilia,Alligator sinensis",351,30.9,25.9,34.3,151.0,25.9,23.9,52.1,176.0,32.8,25.9,46.0,yes,yes
"Anoa, Lowland","Mammalia,Bubalus depressicornis",256,17.7,15.3,21.2,113.0,16.3,14.7,21.3,139.0,18.8,15.2,21.5,yes,yes
"Anteater, Giant","Mammalia,Myrmecophaga tridactyla",177,19.7,17.1,21.5,86.0,19.4,17.1,21.5,90.0,19.7,16.2,22.0,yes,yes
"Antelope, Roan","Mammalia,Hippotragus equinus",456,12.5,11.5,13.2,210.0,12.7,10.6,16.5,245.0,12.4,10.8,13.1,yes,
"Antelope, Sable","Mammalia,Hippotragus niger",1398,11.3,10.5,11.9,602.0,10.6,9.8,12.0,795.0,11.6,10.5,12.2,,
"Aracari, Green","Aves,Pteroglossus viridis",358,7.9,6.3,9.3,174.0,8.5,6.1,10.9,175.0,7.6,6.2,8.9,,
"Argus, Great","Aves,Argusianus argusï¿½",310,10.8,9.4,12.5,138.0,10.6,8.3,12.9,160.0,11.1,9.3,14.1,,
"Armadillo, Southern Three-banded","Mammalia,Tolypeutes matacas",233,17.6,15.0,18.8,109.0,16.4,12.6,18.1,124.0,18.7,15.2,21.7,yes,
"Baboon, Hamadryas","Mammalia,Papio hamadryas",134,27.3,25.2,29.8,57.0,27.2,22.3,29.3,77.0,27.5,24.9,31.0,yes,yes
Barasingha,"Mammalia,Rucervus duvaucelii",568,11.9,10.8,12.9,228.0,9.0,7.5,10.3,326.0,13.1,12.6,13.9,,
