animal_id,name,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color
A771830,*Bradley,2018-12-27T13:25:00,2018-12-27T13:25:00,2017-05-10,Adoption,Foster,NeutredeMale Dog,Neupered Mao,1 year,Pit Bull Mix,White/Blue
A779576,*Rajah,2018-10-01T17:03:00,2018-10-01T17:03:00,2018-04-18,Adoption,,Neutered Male Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
A741715,*Pebbles,2017-01-11T18:17:00,2017-01-11T18:17:00,2016-03-07,Adoption,,Spiyed Femvle Ca,Spuye Female,10 months,Domestic Shorthair Mix,Calico
A658751,Benji,2016-11-13T13:38:00,2016-11-13T13:38:00,2011-07-14,Return to Owner,,Neutered Male Dog,Neutered Male,5 years,Border Terrier Mix,Tan
A721285,,2016-02-24T14:42:00,2016-02-24T14:42:00,2014-02-24,Euthanasia,Suffering,Other,Ucnmwn,2 years,Raccoon Mix,Black/Gray
A746650,Rose,2017-04-07T11:58:00,2017-04-07T11:58:00,2016-04-06,Return to Owner,,Intact Female Dog,Intact Female,1 year,Labrador Retriever/Jack Russell Terrier,Yellow
A750122,Happy Camper,2017-05-24T18:36:00,2017-05-24T18:36:00,2017-04-08,Transfer,Partner,qntactrMale Do,ntact Male,1 month,Labrador Retriever Mix,Black
A756696,Shakti,2017-09-01T11:23:00,2017-09-01T11:23:00,2014-08-24,Return to Owner,,Spayed Female Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue/White
A784168,,2018-11-14T12:33:00,2018-11-14T12:33:00,2018-03-12,Transfer,Partner,Inlct Male Dzg,Iotacj Mae,8 months,English Springer Spaniel Mix,Black/White
A707443,,2015-07-13T13:50:00,2015-07-13T13:50:00,2015-06-21,Transfer,Partner,Intact Female Cat,Intact Female,3 weeks,Domestic Longhair Mix,Black Smoke
