centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count
KF600225.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,unknown,Bifidobacterium sp. G5_2_2BCO2,G5_2_2BCO2,16S ribosomal RNA,1146,"Bifidobacterium sp. G5_2_2BCO2 16S ribosomal RNA gene, partial sequence",1
KF600328.1,Bacteria,undetermined,Actinobacteria,undetermined,Unknown,Bifidobacteriaceae,unknown,Bifidobacterium sp. G7_4_4BCO2,G7_4_4BCO2,16S ribosomal RNA,1330,"Bifidobacterium sp. G7_4_4BCO2 16S ribosomal RNA gene, partial sequence",1
HM534832.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Unknown,Bifidobacteriaceae,unknown,Bifidobacterium sp. Tbbto10,Tbbto10,16S ribosomal RNA,1397,"Bifidobacterium sp. Tbbto10 16S ribosomal RNA gene, partial sequence",1
HM046575.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Unknown,Bifidobacteriaceae,unknown,uncultured Bifidobacterium sp.,Not Available,16S ribosomal RNA,1486,"Uncultured Bifidobacterium sp. clone ACW_P1 16S ribosomal RNA gene, partial sequence",4
KF600585.1,undetermined,undetermined,Actinobacteria,undetermined,Corynebacteriales,Unknown,Corynebacterium,Corynebacterium sp. 3477CO2,3477CO2,16S ribosomal RNA,1241,"Corynebacterium sp. 3477CO2 16S ribosomal RNA gene, partial sequence",2
HM008725.1,undetermined,undetermined,undetermined,Actinobacteria,Corynebacteriales,Unknown,Corynebacterium,uncultured Corynebacterium sp.,Not Available,16S ribosomal RNA,1477,"Uncultured Corynebacterium sp. clone AMW_E5 16S ribosomal RNA gene, partial sequence",1
KF600425.1,Bacteria,undetermined,Actinobacteria,undetermined,Corynebacteriales,Williamsiaceae,Williamsia,Williamsia sp. B3_4TCO2,B3_4TCO2,16S ribosomal RNA,1273,"Williamsia sp. B3_4TCO2 16S ribosomal RNA gene, partial sequence",1
KF600513.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Geodermatophilales,Unknown,unknown,Modestobacter sp. 3368O2,3368O2,16S ribosomal RNA,1247,"Modestobacter sp. 3368O2 16S ribosomal RNA gene, partial sequence",1
KF600143.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Unknown,Georgenia,Georgenia ferrireducens,M3_7_2TO2,16S ribosomal RNA,1075,"Georgenia ferrireducens strain M3_7_2TO2 16S ribosomal RNA gene, partial sequence",1
KJ638109.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Unknown,Nesterenkonia,Nesterenkonia sp. AMHSOQ209,AMHSOQ209,16S ribosomal RNA,1141,"Nesterenkonia sp. AMHSOQ209 16S ribosomal RNA gene, partial sequence",1
