Species_Group,Region,PlotID,BE_PlotID,longitude,latitude,Year,Method,Species_richness,Abundances,Cover,Mean_abundance,conifer_cover,herb_cover
Plants,STE,2EB16,X0,10.5,49.81,2014,mapping,14.0,,88.5,6.32,0.04,29.0
Plants,STE,2EB17,X0,10.5,49.81,2014,mapping,5.0,,110.5,22.1,0.0,11.0
Plants,STE,2EB18,X0,10.5,49.81,2014,mapping,11.0,,52.5,4.77,0.0,30.0
Plants,STE,2EB19,X0,10.5,49.81,2014,mapping,12.0,,75.5,6.29,0.0,23.0
Plants,STE,2EB20,X0,10.5,49.81,2014,mapping,9.0,,125.0,13.89,0.1,20.0
Plants,STE,2EB21,X0,10.5,49.81,2014,mapping,29.0,,238.5,8.22,0.0,83.5
Plants,STE,2EB24,X0,10.46,49.87,2014,mapping,7.0,,103.0,14.71,0.0,15.5
Plants,STE,2EB25,X0,10.46,49.87,2014,mapping,5.0,,108.5,21.7,0.02,6.0
Plants,STE,2FA09,X0,10.57,49.92,2014,mapping,22.0,,309.0,14.05,0.0,159.0
Plants,STE,2FA13,X0,10.57,49.92,2014,mapping,29.0,,126.0,4.34,0.0,78.5
Plants,STE,2FA14,X0,10.58,49.92,2014,mapping,12.0,,137.5,11.46,0.0,27.5
Plants,STE,2FA16,X0,10.57,49.92,2014,mapping,23.0,,283.0,12.3,0.0,133.0
Plants,STE,2FA17,X0,10.59,49.93,2014,mapping,6.0,,108.5,18.08,0.0,11.0
Plants,STE,2FA19,X0,10.59,49.93,2014,mapping,8.0,,75.5,9.44,0.19,23.0
Plants,STE,2FA21,X0,10.59,49.93,2014,mapping,21.0,,150.5,7.17,0.02,48.0
Plants,STE,2FA23,X0,10.59,49.93,2014,mapping,1.0,,127.5,127.5,0.0,2.5
Plants,STE,3EB11,X0,10.52,49.85,2014,mapping,6.0,,99.0,16.5,0.0,12.0
Plants,STE,3EB12,X0,10.52,49.85,2014,mapping,2.0,,67.5,33.75,0.0,5.0
Plants,STE,3EB15,X0,10.53,49.85,2014,mapping,7.0,,72.5,10.36,0.0,7.5
Plants,STE,3EB17,X0,10.53,49.85,2014,mapping,5.0,,160.5,32.1,0.0,10.5
Plants,STE,3EB20,X0,10.46,49.87,2014,mapping,2.0,,92.5,46.25,0.0,5.0
Plants,STE,3EB24,X0,10.46,49.87,2014,mapping,3.0,,153.5,51.17,0.0,3.5
Plants,STE,3FA06,X0,10.58,49.91,2014,mapping,12.0,,134.0,11.17,0.0,24.0
Plants,STE,3FA08,X0,10.57,49.92,2014,mapping,41.0,,193.0,4.71,0.04,130.5
Plants,STE,3FA11,X0,10.57,49.92,2014,mapping,21.0,,244.5,11.64,0.0,154.5
Plants,STE,3FA12,X0,10.57,49.92,2014,mapping,18.0,,299.0,16.61,0.0,124.0
Plants,STE,3FA15,X0,10.61,49.93,2014,mapping,11.0,,41.0,3.73,0.0,31.0
Plants,STE,3FA16,X0,10.62,49.93,2014,mapping,8.0,,71.0,8.88,0.21,23.5
Plants,STE,3FA19,X0,10.61,49.93,2014,mapping,7.0,,107.5,15.36,0.0,25.0
Plants,STE,3FA20,X0,10.62,49.93,2014,mapping,25.0,,143.0,5.72,0.06,100.5
Plants,STE,5EB01,X0,10.53,49.83,2014,mapping,6.0,,110.5,18.42,0.0,10.5
Plants,STE,3EB08,X0,10.52,49.85,2014,mapping,6.0,,115.0,19.17,0.0,17.5
Plants,STE,3EB10,X0,10.52,49.85,2014,mapping,7.0,,113.0,16.14,0.0,18.0
Plants,STE,5EB23,X0,10.46,49.88,2014,mapping,1.0,,137.5,137.5,0.0,2.5
Plants,STE,5EB24,X0,10.46,49.88,2014,mapping,5.0,,95.0,19.0,0.22,5.0
Plants,STE,5EB25,X0,10.46,49.88,2014,mapping,4.0,,130.0,32.5,0.16,2.5
Plants,STE,5FA01,X0,10.57,49.92,2014,mapping,11.0,,98.0,8.91,0.38,18.0
Plants,STE,5FA02,X0,10.57,49.92,2014,mapping,2.0,,77.5,38.75,0.03,3.0
Plants,STE,5FA03,X0,10.57,49.93,2014,mapping,4.0,,145.0,36.25,0.0,12.5
Plants,STE,5FA04,X0,10.57,49.93,2014,mapping,26.0,,138.0,5.31,0.0,120.5
Plants,STE,5FA05,X0,10.57,49.93,2014,mapping,10.0,,148.0,14.8,0.0,25.5
Plants,STE,5FA06,X0,10.57,49.93,2014,mapping,20.0,,224.5,11.22,0.0,79.5
Plants,STE,5FA07,X0,10.56,49.93,2014,mapping,9.0,,225.5,25.06,0.0,113.0
Plants,STE,5FA08,X0,10.56,49.93,2014,mapping,5.0,,190.0,38.0,0.0,45.0
Plants,STE,6NW02,X0,10.47,49.86,2014,mapping,8.0,,95.5,11.94,0.0,18.0
Plants,STE,6NW03,X0,10.47,49.86,2014,mapping,4.0,,118.0,29.5,0.0,9.0
Plants,STE,5EB02,X0,10.53,49.83,2014,mapping,6.0,,90.5,15.08,0.0,10.5
Plants,STE,5EB04,X0,10.53,49.83,2014,mapping,3.0,,90.5,30.17,0.0,5.5
Plants,STE,5EB05,X0,10.53,49.83,2014,mapping,14.0,,72.0,5.14,0.1,22.5
Plants,STE,5EB06,X0,10.5,49.83,2014,mapping,4.0,,90.5,22.62,0.0,8.0
Plants,STE,6NW12,X0,10.5,49.86,2014,mapping,15.0,,118.5,7.9,0.0,73.5
Plants,STE,6NW13,X0,10.5,49.86,2014,mapping,17.0,,122.5,7.21,0.0,103.0
Plants,STE,6NW15,X0,10.5,49.86,2014,mapping,3.0,,101.0,33.67,0.0,4.0
Plants,STE,6NW16,X0,10.5,49.86,2014,mapping,1.0,,127.5,127.5,0.0,2.5
Plants,STE,6NW17,X0,10.5,49.86,2014,mapping,11.0,,80.0,7.27,0.0,18.0
Plants,STE,6NW18,X0,10.5,49.86,2014,mapping,12.0,,75.5,6.29,0.0,63.0
Plants,STE,6NW19,X0,10.5,49.86,2014,mapping,6.0,,78.0,13.0,0.15,13.5
Plants,STE,6NW20,X0,10.5,49.86,2014,mapping,8.0,,101.0,12.62,0.0,16.0
Plants,STE,6NW21,X0,10.51,49.91,2014,mapping,6.0,,188.0,31.33,0.0,15.5
Plants,STE,6NW22,X0,10.51,49.91,2014,mapping,3.0,,95.0,31.67,0.0,7.5
Plants,STE,6NW23,X0,10.51,49.91,2014,mapping,10.0,,138.5,13.85,0.08,18.5
Plants,STE,6NW04,X0,10.47,49.86,2014,mapping,4.0,,160.0,40.0,0.0,10.0
Plants,STE,6NW06,X0,10.47,49.86,2014,mapping,3.0,,130.5,43.5,0.0,5.5
Plants,STE,6NW07,X0,10.47,49.86,2014,mapping,2.0,,180.0,90.0,0.0,90.0
Plants,STE,6NW08,X0,10.47,49.86,2014,mapping,7.0,,84.0,12.0,0.0,19.5
Plants,STE,6NW09,X0,10.47,49.86,2014,mapping,14.0,,186.0,13.29,0.0,126.0
Plants,STE,6NW10,X0,10.47,49.86,2014,mapping,3.0,,145.0,48.33,0.0,7.5
Plants,ALB,AEW15,AEW15,9.41,48.39,2010,mapping,36.0,,86.5,2.4,0.0,51.5
Plants,ALB,AEW16,AEW16,9.44,48.39,2010,mapping,41.0,,180.5,4.4,0.0,67.5
Plants,ALB,AEW17,AEW17,9.24,48.4,2010,mapping,14.0,,108.5,7.75,0.0,17.5
Plants,ALB,AEW18,AEW18,9.23,48.36,2010,mapping,47.0,,198.0,4.21,0.0,142.5
Plants,ALB,AEW19,AEW19,9.31,48.48,2010,mapping,18.0,,183.0,10.17,0.0,63.0
Plants,ALB,AEW2,AEW2,9.35,48.38,2010,mapping,58.0,,205.0,3.53,0.93,114.0
Plants,ALB,AEW20,AEW20,9.32,48.37,2010,mapping,37.0,,198.5,5.36,0.0,117.5
Plants,ALB,AEW21,AEW21,9.32,48.48,2010,mapping,30.0,,250.0,8.33,0.0,96.5
Plants,ALB,AEW22,AEW22,9.45,48.38,2010,mapping,22.0,,287.0,13.05,0.02,123.5
Plants,STE,6NW24,X0,10.51,49.91,2014,mapping,12.0,,153.0,12.75,0.0,28.0
Plants,STE,6NW25,X0,10.51,49.91,2014,mapping,3.0,,155.5,51.83,0.0,5.5
Plants,ALB,AEW1,AEW1,9.33,48.48,2010,mapping,44.0,,115.5,2.62,0.95,39.0
Plants,ALB,AEW10,AEW10,9.39,48.38,2010,mapping,44.0,,153.0,3.48,0.93,82.0
Plants,ALB,AEW11,AEW11,9.32,48.49,2010,mapping,37.0,,139.5,3.77,0.96,73.0
Plants,ALB,AEW12,AEW12,9.25,48.37,2010,mapping,49.0,,215.0,4.39,0.69,115.0
Plants,ALB,AEW13,AEW13,9.4,48.38,2010,mapping,51.0,,209.0,4.1,0.81,137.0
Plants,ALB,AEW14,AEW14,9.34,48.38,2010,mapping,40.0,,227.0,5.67,0.5,148.5
Plants,ALB,AEW32,AEW32,9.37,48.41,2010,mapping,84.0,,136.0,1.62,0.92,84.5
Plants,ALB,AEW33,AEW33,9.49,48.39,2010,mapping,60.0,,164.0,2.73,0.97,97.0
Plants,ALB,AEW34,AEW34,9.5,48.39,2010,mapping,58.0,,163.5,2.82,0.96,119.0
Plants,ALB,AEW35,AEW35,9.42,48.45,2010,mapping,66.0,,204.0,3.09,0.07,111.5
Plants,ALB,AEW36,AEW36,9.22,48.38,2010,mapping,66.0,,223.5,3.39,0.03,104.5
Plants,ALB,AEW37,AEW37,9.44,48.39,2010,mapping,30.0,,284.0,9.47,0.0,62.5
Plants,ALB,AEW38,AEW38,9.45,48.38,2010,mapping,24.0,,130.5,5.44,0.0,20.5
Plants,ALB,AEW23,AEW23,9.49,48.39,2010,mapping,14.0,,196.5,14.04,0.0,31.0
Plants,ALB,AEW24,AEW24,9.29,48.48,2010,mapping,15.0,,172.5,11.5,0.22,2.5
Plants,ALB,AEW25,AEW25,9.42,48.48,2010,mapping,20.0,,65.5,3.27,0.0,27.5
Plants,ALB,AEW26,AEW26,9.44,48.42,2010,mapping,45.0,,226.0,5.02,0.0,118.5
Plants,ALB,AEW27,AEW27,9.47,48.4,2010,mapping,45.0,,250.0,5.56,0.0,99.0
Plants,ALB,AEW28,AEW28,9.31,48.49,2010,mapping,42.0,,276.5,6.58,0.0,114.0
Plants,ALB,AEW29,AEW29,9.36,48.38,2010,mapping,35.0,,250.5,7.16,0.0,154.0
Plants,ALB,AEW3,AEW3,9.36,48.41,2010,mapping,51.0,,133.0,2.61,0.96,62.0
Plants,ALB,AEW30,AEW30,9.37,48.37,2010,mapping,43.0,,276.5,6.43,0.0,196.0
Plants,ALB,AEW31,AEW31,9.26,48.38,2010,mapping,82.0,,150.0,1.83,0.88,102.0
Plants,ALB,AEW49,AEW49,9.48,48.45,2010,mapping,33.0,,259.5,7.86,0.0,50.0
Plants,ALB,AEW5,AEW5,9.41,48.42,2010,mapping,32.0,,180.0,5.62,0.01,107.5
Plants,ALB,AEW50,AEW50,9.25,48.39,2010,mapping,10.0,,146.5,14.65,0.04,3.0
Plants,ALB,AEW6,AEW6,9.45,48.39,2010,mapping,28.0,,283.5,10.12,0.0,114.5
Plants,ALB,AEW7,AEW7,9.26,48.4,2010,mapping,4.0,,113.5,28.38,0.11,0.5
Plants,ALB,AEW8,AEW8,9.38,48.38,2010,mapping,27.0,,127.0,4.7,0.0,50.0
Plants,ALB,AEW39,AEW39,9.24,48.38,2010,mapping,28.0,,156.5,5.59,0.0,59.0
Plants,ALB,AEW4,AEW4,9.24,48.4,2010,mapping,15.0,,126.5,8.43,0.02,14.0
Plants,ALB,AEW40,AEW40,9.35,48.5,2010,mapping,35.0,,224.0,6.4,0.0,126.0
Plants,ALB,AEW41,AEW41,9.4,48.36,2010,mapping,28.0,,279.5,9.98,0.0,116.0
Plants,ALB,AEW42,AEW42,9.45,48.4,2010,mapping,22.0,,207.0,9.41,0.0,106.5
Plants,ALB,AEW43,AEW43,9.38,48.38,2010,mapping,29.0,,314.5,10.84,0.0,181.5
Plants,ALB,AEW44,AEW44,9.22,48.39,2010,mapping,17.0,,146.0,8.59,0.0,19.5
Plants,ALB,AEW45,AEW45,9.5,48.39,2010,mapping,29.0,,275.0,9.48,0.0,69.0
Plants,ALB,AEW46,AEW46,9.36,48.39,2010,mapping,33.0,,247.5,7.5,0.0,143.0
Plants,ALB,AEW47,AEW47,9.41,48.42,2010,mapping,35.0,,166.0,4.74,0.04,89.0
Plants,ALB,AEW48,AEW48,9.47,48.39,2010,mapping,37.0,,335.0,9.05,0.04,107.5
Plants,HAI,HEW2,HEW2,10.37,51.21,2009,mapping,33.0,,174.5,5.29,0.6,55.0
Plants,HAI,HEW20,HEW20,10.36,51.33,2009,mapping,28.0,,208.0,7.43,0.02,71.5
Plants,HAI,HEW21,HEW21,10.32,51.19,2009,mapping,25.0,,269.5,10.78,0.0,130.5
Plants,HAI,HEW22,HEW22,10.36,51.34,2009,mapping,40.0,,185.5,4.64,0.0,84.0
Plants,HAI,HEW23,HEW23,10.21,51.28,2009,mapping,51.0,,237.0,4.65,0.0,119.0
Plants,ALB,AEW9,AEW9,9.42,48.37,2010,mapping,35.0,,184.0,5.26,0.03,106.5
Plants,HAI,HEW1,HEW1,10.32,51.19,2009,mapping,56.0,,219.0,3.91,0.89,160.5
Plants,HAI,HEW10,HEW10,10.46,51.09,2009,mapping,20.0,,120.5,6.03,0.0,20.5
Plants,HAI,HEW11,HEW11,10.4,51.1,2009,mapping,18.0,,157.5,8.75,0.0,19.0
Plants,HAI,HEW12,HEW12,10.46,51.1,2009,mapping,14.0,,139.5,9.96,0.0,9.0
Plants,HAI,HEW13,HEW13,10.31,51.24,2009,mapping,63.0,,181.0,2.87,0.93,112.0
Plants,HAI,HEW14,HEW14,10.26,51.37,2009,mapping,41.0,,177.0,4.32,0.0,53.5
Plants,HAI,HEW15,HEW15,10.39,51.2,2009,mapping,32.0,,206.5,6.45,0.0,32.0
Plants,HAI,HEW16,HEW16,10.37,51.18,2009,mapping,24.0,,214.5,8.94,0.0,80.0
Plants,HAI,HEW17,HEW17,10.23,51.28,2009,mapping,6.0,,100.5,16.75,0.0,2.5
Plants,HAI,HEW18,HEW18,10.37,51.34,2009,mapping,6.0,,118.0,19.67,0.0,4.5
Plants,HAI,HEW19,HEW19,10.34,51.2,2009,mapping,33.0,,296.5,8.98,0.0,174.5
Plants,HAI,HEW37,HEW37,10.46,51.08,2009,mapping,18.0,,147.5,8.19,0.0,28.5
Plants,HAI,HEW38,HEW38,10.46,51.08,2009,mapping,19.0,,113.0,5.95,0.0,10.5
Plants,HAI,HEW39,HEW39,10.47,51.09,2009,mapping,15.0,,133.0,8.87,0.0,13.0
Plants,HAI,HEW24,HEW24,10.49,51.05,2009,mapping,22.0,,151.0,6.86,0.0,48.0
Plants,HAI,HEW25,HEW25,10.22,51.28,2009,mapping,25.0,,242.0,9.68,0.0,39.0
Plants,HAI,HEW26,HEW26,10.51,51.34,2009,mapping,27.0,,150.5,5.57,0.0,48.0
Plants,HAI,HEW27,HEW27,10.52,51.36,2009,mapping,19.0,,181.5,9.55,0.0,25.5
Plants,HAI,HEW28,HEW28,10.53,51.36,2009,mapping,28.0,,145.5,5.2,0.0,33.0
Plants,HAI,HEW29,HEW29,10.38,51.13,2009,mapping,26.0,,180.0,6.92,0.0,77.5
Plants,HAI,HEW3,HEW3,10.31,51.27,2009,mapping,55.0,,201.5,3.66,0.76,106.5
Plants,HAI,HEW30,HEW30,10.38,51.13,2009,mapping,24.0,,135.5,5.65,0.0,46.0
Plants,HAI,HEW31,HEW31,10.38,51.14,2009,mapping,31.0,,153.0,4.94,0.0,35.5
Plants,HAI,HEW32,HEW32,10.36,51.14,2009,mapping,19.0,,168.5,8.87,0.0,9.5
Plants,HAI,HEW33,HEW33,10.51,51.34,2009,mapping,22.0,,145.5,6.61,0.0,19.5
Plants,HAI,HEW34,HEW34,10.45,51.08,2009,mapping,8.0,,98.5,12.31,0.0,2.5
