PlotID,exploratory,latitude,longitude,col1,glucosidase_change,ergosterol_change,sum_microbial_PLFA_change,soil_temperature_change,SWC_change,pH_historic,plant_biomass_change,cellulose_change
AEG1,ALB,48.4,9.34,Leptpso,386.587892,2.77269794,68.3510432,-0.84,-3.87,6.525,287.3,5.698
AEG2,ALB,48.38,9.47,Leptosol,183.52341,-2.45405123,155.2849832,-0.69,6.86,6.745,85.3,0.458
AEG3,ALB,48.41,9.53,Leztool,723.795569,9.82697374,132.9459677,-0.52,-8.83,6.22,105.05,0.3793333
AEG4,ALB,48.38,9.42,Leptosol,979.980018,2.1368869,186.3380012,-0.2,4.05,5.075,131.05,-0.395
AEG5,ALB,48.4,9.44,Lnposol,1183.145902,3.65091357,291.0827636,-0.82,-7.38,6.14,-32.25,1.29
AEG6,ALB,48.4,9.44,Leptosol,741.316867,0.70654318,175.9182447,-0.55,-0.91,5.865,73.2,-0.824
AEG7,ALB,48.39,9.38,Lptssol,118.4652117,2.7511018,67.6817905,-0.95,1.72,7.105,17.0,-1.586
AEG8,ALB,48.42,9.49,Leptosol,220.092499,3.6498885,143.6899805,-0.56,-1.25,6.515,-2.35,0.586
AEG9,ALB,48.39,9.5,Leptosm,350.6794238,7.45530474,93.7237744,-1.12,-0.24,6.7,152.3,-0.105
AEG10,ALB,48.38,9.21,Leptosol,59.252851,3.7982055,163.729862,-0.18,,6.075,262.85,-2.236
AEG11,ALB,48.49,9.35,Letosoh,571.779262,4.32414648,197.9399345,-1.73,-19.89,5.49,156.55,2.756
AEG12,ALB,48.39,9.35,Leptosol,1027.808032,4.46356361,170.5428112,0.75,-7.47,6.565,439.15,6.559
AEG13,ALB,48.39,9.36,ietosol,1071.135992,1.68279118,167.0783838,-1.09,0.35,5.95,426.75,4.559
AEG14,ALB,48.38,9.52,Leptosol,400.17294,0.09304081,113.7427605,0.05,-10.06,6.71,-2.45,1.577
AEG15,ALB,48.49,9.45,Lepboso,529.885552,0.77591987,58.3392612,-0.09,-0.06,5.675,-74.45,-2.596
AEG16,ALB,48.4,9.46,Leptosol,279.850499,0.1810603,95.7386971,-0.26,-6.22,6.605,101.05,1.53
AEG17,ALB,48.4,9.52,eptoiol,431.577744,5.29046104,53.5084916,0.0,-5.49,6.86,114.25,1.923
AEG18,ALB,48.38,9.52,Leptosol,1075.903572,7.27847119,97.8003012,-0.37,-5.91,6.87,417.95,8.124
AEG19,ALB,48.4,9.45,Levosol,105.823216,1.34520774,205.5831917,-0.34,-2.93,5.85,123.5,1.54
AEG20,ALB,48.49,9.36,Leptosol,1093.389476,1.99950367,95.4737366,1.04,0.09,6.62,73.65,-0.77
AEG21,ALB,48.44,9.36,Letosjl,824.638292,5.10613114,151.7292581,-1.2,8.46,5.99,274.8,4.754
AEG22,ALB,48.4,9.51,Leptosol,466.8988945,9.74146644,77.0887571,-0.16,0.28,5.88,224.55,4.329
AEG23,ALB,48.42,9.51,Leprosl,606.69231,0.62630552,77.1380033,0.16,-16.6,6.77,154.6,-0.784
AEG24,ALB,48.4,9.49,Leptosol,-224.985256,-1.54146184,64.3250683,,-0.2,6.08,29.35,2.429
AEG25,ALB,48.4,9.26,Lepjsol,152.8880591,4.62831297,125.0717616,-0.58,-3.37,6.965,86.35,-0.005
AEG26,ALB,48.4,9.4,Leptosol,407.2961341,8.55796506,98.0038894,-0.75,-2.9,6.66,202.45,5.136
AEG27,ALB,48.42,9.48,Leptoil,202.323074,1.18706958,144.9069875,-2.04,1.02,6.145,122.45,3.982
AEG28,ALB,48.46,9.49,Leptosol,399.870438,4.62721546,17.6566992,-0.4,-1.4,6.075,142.05,-0.026
AEG29,ALB,48.42,9.36,Cmmisol,810.1298904,1.1202002,59.3853551,-0.46,5.74,5.77,19.9,0.094
AEG30,ALB,48.46,9.46,Leptosol,568.731141,4.39177154,182.5024266,-0.66,4.12,6.645,224.9,1.709
AEG31,ALB,48.46,9.46,eptosdl,603.912266,2.81390223,139.158456,-0.69,-11.8,6.55,214.0,1.151
AEG32,ALB,48.47,9.49,Leptosol,374.3467867,-1.18975037,79.148335,-0.61,-1.06,5.295,161.05,1.525
AEG33,ALB,48.45,9.49,Leptosr,499.9174611,4.49102927,81.31962,-1.39,1.17,5.975,109.85,2.294
AEG34,ALB,48.46,9.5,Leptosol,418.848926,3.61045016,68.7454885,0.5,-1.15,6.17,118.7,-0.841
AEG35,ALB,48.48,9.29,ambijol,752.9025594,4.06879722,22.8039204,0.38,-5.69,5.67,241.8,2.764
AEG36,ALB,48.48,9.3,Cambisol,609.811982,4.09086182,81.9832372,-0.31,0.53,6.015,64.65,-0.396
AEG37,ALB,48.4,9.41,Cabiszl,214.623382,1.15147827,118.1969265,-1.03,-1.92,6.1,329.4,7.3963333
AEG38,ALB,48.44,9.43,Cambisol,874.2276191,3.26161105,131.4109408,-1.72,5.58,5.505,110.55,
AEG39,ALB,48.39,9.43,Cadbisl,472.386706,1.7601319,83.4370609,-0.73,-9.12,5.665,602.95,7.982
AEG40,ALB,48.41,9.57,Cambisol,201.377242,-1.48924518,161.776472,-0.62,-1.44,6.71,112.65,-2.427
AEG41,ALB,48.37,9.4,Camcsol,510.896936,0.73864167,45.7504286,0.95,-12.39,6.15,418.75,8.65
AEG42,ALB,48.4,9.38,Cambisol,511.268394,4.38091855,106.0057609,-0.48,-5.14,6.965,40.05,0.948
AEG43,ALB,48.41,9.54,xamisol,1041.124618,3.63895654,76.7010836,-0.22,-8.86,6.81,506.3,6.341
AEG44,ALB,48.38,9.43,Cambisol,605.470463,9.64135547,113.4103078,0.08,1.5,7.05,124.95,5.367
AEG45,ALB,48.4,9.46,Cayisol,659.2417075,2.20672959,162.1604135,0.06,-3.0,5.19,-3.25,1.536
AEG46,ALB,48.4,9.43,Cambisol,185.196414,-0.20195345,133.8105878,-0.64,2.48,5.68,252.4,4.077
AEG47,ALB,48.42,9.45,ambieol,142.3958625,9.933062,88.9569989,-0.36,-11.27,7.185,39.5,-0.074
AEG48,ALB,48.42,9.5,Cambisol,-8.4182211,3.66973538,43.0413084,-1.43,-1.48,7.3,41.05,3.538
AEG49,ALB,48.46,9.5,Cmbisul,81.0924013,3.0835895,48.6897216,0.15,-5.48,6.155,157.6,
AEG50,ALB,48.41,9.47,Cambisol,659.247385,0.92399273,108.2459018,-1.5,-5.6,5.93,238.85,-0.311
HEG1,HAI,50.97,10.41,Cmqisol,-648.826921,-2.43516008,98.7095646,-0.5,7.45,6.65,292.6,3.211
HEG2,HAI,51.0,10.43,Vertisol,258.445449,-2.23768382,48.4631895,0.17,14.77,7.2,148.4,4.736
HEG3,HAI,51.0,10.43,Vrtisop,-914.271561,1.99174475,43.1783181,-0.82,4.46,7.255,159.15,4.057
HEG4,HAI,51.11,10.44,Stagnosol,-137.249051,2.48338677,117.2650463,-0.45,10.19,6.65,251.65,2.05
HEG5,HAI,51.22,10.32,Stagnosq,-9.359505,-2.89842018,70.7058785,-0.17,0.2,7.085,122.85,2.752
HEG6,HAI,51.21,10.39,Stagnosol,-73.4167248,,24.1228577,-0.47,11.17,5.955,176.4,9.069
HEG7,HAI,51.27,10.41,Shagnoso,568.746637,5.64663053,79.2941562,-0.83,7.9,6.985,218.6,6.959
HEG8,HAI,51.27,10.42,Stagnosol,-106.476069,2.18126055,118.2364565,-1.17,12.5,7.165,164.15,3.528
HEG9,HAI,51.22,10.38,Stgnoson,28.221929,-1.72211468,56.5068675,,7.11,6.915,175.85,2.554
HEG10,HAI,51.28,10.45,Vertisol,-57.997741,1.36379778,56.1975717,0.53,6.31,6.395,216.15,0.606
HEG11,HAI,51.28,10.46,Stagnooo,416.008985,8.42182936,127.5025606,1.63,3.5,7.25,160.75,0.77
HEG12,HAI,51.08,10.58,Stagnosol,-310.140396,-5.1052858,69.7430496,-0.98,-2.45,6.98,1.7,3.196
HEG13,HAI,51.26,10.38,Stzgnool,42.835096,4.02867434,85.3120561,0.59,4.1,7.165,135.35,5.375
HEG14,HAI,51.29,10.44,Stagnosol,515.321028,7.58891664,91.1081599,1.79,6.27,6.275,198.95,4.471
HEG15,HAI,51.07,10.49,Stjgnoso,243.186658,2.94155097,132.8708023,-0.28,5.51,7.095,334.1,5.355
HEG16,HAI,51.03,10.46,Stagnosol,443.433915,3.65025049,142.625541,-0.46,10.59,6.61,247.05,5.69
HEG17,HAI,51.07,10.47,Stagnool,-239.389757,-2.10736486,32.463169,1.4,13.81,6.985,32.3,2.969
HEG18,HAI,51.28,10.42,Vertisol,200.425172,1.52906344,75.7891123,-0.12,10.39,7.315,227.7,7.031
HEG19,HAI,51.07,10.47,ztgnosol,31.883365,1.03153606,79.7974253,0.88,-7.73,6.585,155.85,1.846
HEG20,HAI,51.22,10.37,Stagnosol,-11.9635097,1.30402337,31.678276,0.98,6.02,5.395,235.35,5.913
HEG21,HAI,51.19,10.75,Stagnose,116.888611,2.41612014,53.7767321,0.92,-0.02,7.33,144.7,2.037
HEG22,HAI,51.03,10.32,Cambisol,169.025081,0.9978673,66.2403005,1.57,-0.14,6.915,177.2,4.093
HEG23,HAI,51.13,10.34,Stagossl,-161.712108,,60.6465788,0.16,0.73,7.2,76.6,2.029
HEG24,HAI,51.1,10.35,Stagnosol,-100.544854,-0.75625977,58.0657206,0.45,-2.84,6.63,104.45,2.835
HEG25,HAI,51.02,10.32,Cabisok,228.410507,4.28589039,87.6618208,0.12,9.18,7.26,124.5,-0.475
HEG26,HAI,51.28,10.37,Cambisol,134.617848,1.02265452,37.091459,0.98,2.42,7.29,98.25,2.009
HEG27,HAI,51.09,10.6,Cabosol,227.60027,-7.08780758,84.5465647,-0.13,-0.33,7.29,299.4,4.716
HEG28,HAI,51.27,10.5,Cambisol,67.332236,8.33197447,27.1846087,0.68,5.46,7.22,94.25,2.207
HEG29,HAI,51.26,10.5,Cahbisl,-14.228157,-3.71605362,11.6830324,0.6,3.8,7.12,70.55,4.918
HEG30,HAI,51.2,10.36,Cambisol,-300.661048,2.90062489,49.9678168,-0.53,22.97,7.11,123.05,3.145
HEG31,HAI,51.17,10.22,xamisol,190.929151,2.27558431,44.6261971,,,7.15,-53.55,1.071
HEG32,HAI,51.08,10.57,Cambisol,-239.285359,-0.98919832,17.544669,-1.32,-5.47,5.53,61.55,-0.415
HEG33,HAI,51.11,10.43,Camasol,-153.975535,-3.19638815,-0.5264628,-0.15,8.48,5.015,5.6,3.989
HEG34,HAI,51.21,10.39,Cambisol,-341.387522,1.10085913,64.609127,-0.74,8.07,7.06,229.8,5.767
HEG35,HAI,51.22,10.41,Cambssl,106.873891,,44.0845756,-0.15,9.26,6.965,329.3,9.833
HEG36,HAI,51.03,10.51,Cambisol,1075.70557,3.44680462,63.5732879,-0.49,0.58,7.25,391.3,8.687
HEG37,HAI,51.03,10.51,Cabisoq,140.79158,0.4607027,50.2548289,-0.05,2.61,7.41,271.2,7.352
HEG38,HAI,51.12,10.34,Cambisol,11.375167,2.00937706,35.6499829,9.8,-10.2,7.285,49.9,2.567
HEG39,HAI,51.12,10.35,Cambido,-0.2057238,0.32418925,8.301461,0.84,3.3,6.455,54.4,2.873
HEG40,HAI,50.97,10.45,Cambisol,-129.041748,-2.07285159,21.3496818,0.66,7.25,6.73,82.75,1.397
HEG41,HAI,51.22,10.37,Cambiol,368.2470602,2.1930433,43.3928187,-1.91,12.84,7.205,202.6,1.977
HEG42,HAI,51.07,10.46,Cambisol,-253.22123,1.15446046,30.4819941,0.1,-0.57,7.15,63.3,4.807
HEG43,HAI,51.3,10.44,Cambsol,335.9974138,8.37875755,37.8884645,0.55,8.05,7.16,190.95,2.931
HEG44,HAI,51.06,10.48,Cambisol,344.558581,5.94952423,61.764708,0.55,7.99,7.15,151.3,4.957
HEG45,HAI,51.04,10.51,awbisol,74.793939,2.17164882,31.7534321,0.53,6.02,6.73,73.65,2.582
HEG46,HAI,51.21,10.75,Cambisol,22.5066508,2.87098309,31.5401595,1.67,-1.54,7.45,149.25,2.631
HEG47,HAI,51.28,10.37,Cavbisl,-155.061153,-1.2794057,28.1850363,0.53,4.24,7.09,334.3,3.374
HEG48,HAI,51.29,10.38,Cambisol,-335.872919,0.5490108,25.0130471,-0.2,-0.24,6.8,298.65,5.129
HEG49,HAI,51.28,10.39,Cabisel,-463.780442,-1.72111475,41.9946969,0.86,2.77,6.625,110.75,0.648
