SampleID,Object,Plot_ID,Exploratory,Date,Bee_Species,Name_of_acid,Concentration
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Asparagine acid,13.1542614261
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Threonine,4.1008097739
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Serine,6.6467433391
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Glutamic acid,10.2912694957
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Proline,13.74294
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Glycine,6.468108313
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Alanine,7.6365982957
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Valine,2.4204755478
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Methionine,1.0645874087
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Isoleucine,2.0936781913
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Leucine,9.8436964174
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Tyrosine,2.2139173565
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Phenylalanine,3.152016
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Gamma amino butyric acid,1.0166556522
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Ammoniumsulfat,17.1747460174
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Lysin,5.8754093217
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Histidine,1.8873399652
PNUTOB17180001,Pollen,AEG2,Alb,2017-06-09,Osmia bicornis,Arginine,5.5646448
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Asparagine acid,19.5840200205
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Threonine,5.5146109538
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Serine,7.2025515077
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Glutamic acid,15.3353937641
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Proline,16.3715406769
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Glycine,7.3948928821
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Alanine,9.6751451077
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Valine,3.505710441
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Methionine,1.7529393231
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Isoleucine,2.7741197128
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Leucine,9.5461927385
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Tyrosine,2.3024851692
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Phenylalanine,4.9025260308
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Gamma amino butyric acid,2.0301923282
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Ammoniumsulfat,17.6289414564
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Lysin,7.9887878564
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Histidine,4.2643547897
PNUTOB17180002,Pollen,AEG4,Alb,2017-06-09,Osmia bicornis,Arginine,7.8028021333
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Asparagine acid,9.3446534824
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Threonine,3.3645469765
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Serine,5.7309669882
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Glutamic acid,7.6686518118
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Proline,13.3276862824
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Glycine,5.3182727647
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Alanine,6.6618392824
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Valine,2.4228549176
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Methionine,1.5522241412
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Isoleucine,2.0085639529
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Leucine,6.5917349647
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Tyrosine,1.6635439059
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Phenylalanine,3.3565530353
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Gamma amino butyric acid,1.1577644824
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Ammoniumsulfat,10.5979012235
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Lysin,5.718828
PNUTOB17180003,Pollen,AEG5,Alb,2017-06-07,Osmia bicornis,Histidine,2.0610742588
