record_id,aircraft_type,airport_name,altitude_bin,aircraft_make_model,wildlife_number_struck,wildlife_number_struck_actual,effect_impact_to_flight,flightdate,effect_indicated_damage,aircraft_number_of_engines,aircraft_airline_operator,origin_state,when_phase_of_flight,conditions_precipitation,remains_of_wildlife_collected,remains_of_wildlife_sent_to_smithsonian,remarks,wildlife_size,conditions_sky,wildlife_species,pilot_warned_of_birds_or_wildlife,cost_total,feet_above_ground,number_of_people_injured,is_aircraft_large
202152,Airplane,LAGUARDIA NY,> 1000 ft,B-737-400,Over 100,859,Engine Shut Down,2000-11-23T00:00:00,Caused damage,2,US AIRWAYS*,New York (United States),Climb,None,False,False,"FLT 753. PILOT REPTD A HUNDRED BIRDS ON UNKN TYPE. #1 ENG WAS SHUT DOWN AND DIVERTED TO EWR. SLIGHT VIBRATION. A/C WAS OUT OF SVC FOR REPAIRS TO COWLING, FAN DUCT ACCOUSTIC PANEL. INGESTION. DENTED FAN BLADE #26 IN #1 ENG. HEAVY BLOOD STAINS ON L WINGTIP",Medium,No Cloud,Unknown bird - medium,False,30736,1500,0,True
208159,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,Over 100,424,None,2001-07-25T00:00:00,Caused damage,2,AMERICAN AIRLINES,Texas (United States),Landing Roll,None,False,False,102 CARCASSES FOUND. 1 LDG LIGHT ON NOSE GEAR WAS DAMAGED AND REPLACED.,Small,Some Cloud,Rock pigeon,True,0,0,0,False
207601,Airplane,LAKEFRONT AIRPORT,< 1000 ft,C-500,Over 100,261,None,2001-09-14T00:00:00,No damage,2,BUSINESS,Louisiana (United States),Approach,None,False,False,FLEW UNDER A VERY LARGE FLOCK OF BIRDS OVER APCH END OF RWY. NO DMG. JUST A LOT OF BIRD DROPPINGS ON WINDSCREEN.,Small,No Cloud,European starling,False,0,50,0,False
215953,Airplane,SEATTLE-TACOMA INTL,< 1000 ft,B-737-400,Over 100,806,Precautionary Landing,2002-09-05T00:00:00,No damage,2,ALASKA AIRLINES,Washington (United States),Climb,None,True,False,"NOTAM WARNING. 26 BIRDS HIT THE A/C, FORCING AN EMERGENCY LDG. 77 BIRDS WERE FOUND DEAD ON RWY/TWY WITH GRASSHOPPERS IN THEIR STOMACHS. SAFETY AREAS COULD NOT BE THOROUGHLY INSPCTD DURING 14 MINUTE SHUTDOWN OF RWY 34L. NO DMG. A/C OUT OF SVC 40 MINS. PHOT",Small,Some Cloud,European starling,True,0,50,0,True
219878,Airplane,NORFOLK INTL,< 1000 ft,CL-RJ100/200,Over 100,942,None,2003-06-23T00:00:00,No damage,2,COMAIR AIRLINES,Virginia (United States),Approach,None,False,False,NO DMG REPTD.,Small,No Cloud,European starling,False,0,50,0,False
218432,Airplane,GUAYAQUIL/S BOLIVAR,< 1000 ft,A-300,Over 100,537,None,2003-07-24T00:00:00,No damage,2,AMERICAN AIRLINES,nan (United States),Take-off run,None,False,False,NO DMG. BIRD REMAINS ON F/O WINDSCREEN.,Small,No Cloud,Unknown bird - small,False,0,0,0,False
221697,Airplane,NEW CASTLE COUNTY,< 1000 ft,LEARJET-25,Over 100,227,Other,2003-08-17T00:00:00,Caused damage,2,BUSINESS,Delaware (United States),Climb,None,True,True,,Small,No Cloud,European starling,False,1481711,150,0,False
236635,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,Over 100,320,Other,2006-03-01T00:00:00,Caused damage,2,UNITED AIRLINES,DC (United States),Approach,None,True,False,"WS ASSISTED IN CLEAN-UP OF 273 STARLINGS AND 1 BROWN-HEADED COWBIRD FROM RWY THRESHOLD. PHOTOS OF A/C TAKEN. BORESCOPED BOTH ENGS. FOUND DENTS AND NICKS IN STAGES 3-6. ALL WITHIN LIMITS. CLEANED RADOME, L WING, FLAPS, PYLON, GEAR AND LEADING EDGE FLAPS. R",Small,Some Cloud,European starling,True,1483141,100,0,False
207369,Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,9,Aborted Take-off,2000-01-06T00:00:00,No damage,2,AIRTRAN AIRWAYS,Georgia (United States),Take-off run,None,False,False,,Small,Some Cloud,Rock pigeon,False,0,0,0,False
204371,Airplane,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,A-330,2 to 10,4,None,2000-01-07T00:00:00,No damage,2,AIRTOURS INTL,Florida (United States),Landing Roll,None,False,False,FLT 057,Small,Some Cloud,Unknown bird - small,False,0,0,0,False
201589,Airplane,ONTARIO INTL ARPT,< 1000 ft,A-320,2 to 10,3,None,2000-01-08T00:00:00,No damage,2,AMERICA WEST AIRLINES,California (United States),Approach,None,False,False,"FLEW THRU A FLOCK OF ABOUT 30 BIRDS. INGESTED 1. REPTS DIFFER ON  ENG STRUCK, COULD BE #1 AND/OR #2.",Small,Some Cloud,Rock pigeon,False,0,200,0,False
205958,Airplane,CHICAGO O'HARE INTL ARPT,> 1000 ft,FOKKER F100,2 to 10,9,None,2000-01-20T00:00:00,Caused damage,2,AMERICAN AIRLINES,Illinois (United States),Approach,None,False,False,"JUST OUTSIDE OF WILLT ON VISUAL APCH, WE FLEW THRU A FLOCK OF  GEESE. WE HIT AT LEAST 1, HEARD THE SOUND. RT WING SUFFERED  SIGNIFICANTLY MORE DMG THAN L WING. (L. SCHAFER, WS DID NOT KNOW  ABOUT THIS STRIKE). ALSO SAW EVIDENCE OF STRIKE AROUND THE R ENG",Large,No Cloud,Canada goose,False,0,1700,0,False
