Habitat_type,Sampling_regime,PlotIDYear,Exploratory,PlotID,CollectionYear,biomass,abundance_unidentified_identified,abundance_identified,species,abundance_carnivore,species_carnivore,biomass_carnivore,abundance_herbivore,species_herbivore,biomass_herbivore,abundance_omnivore,species_omnivore,biomass_omnivore,landuse_intensity,temprature
grassland,annual,AEG01_2008,ALB,AEG1,2008,16939.52076,499,472,47,16,10,424.242097,451,34,16345.53412,3,2,164.6389294,2.06,1.23441157
grassland,annual,AEG01_2009,ALB,AEG1,2009,9684.505029,561,205,30,3,3,117.9294198,200,25,9456.798974,2,2,109.7766354,2.06,-0.855548417
grassland,annual,AEG01_2010,ALB,AEG1,2010,4342.72084,1447,160,27,21,5,1049.102506,137,20,3253.836237,1,1,22.92073815,2.06,-0.88724
grassland,annual,AEG01_2011,ALB,AEG1,2011,4159.450124,800,103,29,14,5,889.2314698,89,24,3270.218654,0,0,0,2.06,-0.871601083
grassland,annual,AEG01_2012,ALB,AEG1,2012,3964.873672,352,107,23,9,5,178.3500141,98,18,3786.523658,0,0,0,2.06,-0.33607405
grassland,annual,AEG01_2013,ALB,AEG1,2013,1796.748124,902,106,28,7,5,384.1118978,99,23,1412.636226,0,0,0,2.06,-0.3986075
grassland,annual,AEG01_2014,ALB,AEG1,2014,192.5844217,436,24,9,1,1,1.002708974,22,7,189.8270626,1,1,1.754650082,2.06,1.44109425
grassland,annual,AEG01_2015,ALB,AEG1,2015,1453.978132,409,66,18,3,3,30.00168659,63,15,1423.976445,0,0,0,2.06,0.704024
grassland,annual,AEG01_2016,ALB,AEG1,2016,2764.873699,399,47,26,6,5,110.882026,39,19,2593.549476,1,1,59.83569633,2.06,2.257041983
grassland,annual,AEG01_2017,ALB,AEG1,2017,1713.541232,256,89,21,4,3,53.81368998,85,18,1659.727542,0,0,0,2.06,-0.674604417
grassland,annual,AEG02_2008,ALB,AEG2,2008,9296.387281,1241,499,40,5,4,275.659463,489,33,8907.814949,4,2,109.8897639,3.28,1.22671124
grassland,annual,AEG02_2009,ALB,AEG2,2009,9812.690919,1202,609,36,7,7,627.3925633,601,28,9162.377617,1,1,22.92073815,3.28,-0.75705875
grassland,annual,AEG02_2010,ALB,AEG2,2010,190.6096382,214,12,8,0,0,0,12,8,190.6096382,0,0,0,3.28,-0.79059725
grassland,annual,AEG02_2011,ALB,AEG2,2011,1986.234239,407,175,15,2,2,50.23430555,173,13,1935.999934,0,0,0,3.28,-0.543979
grassland,annual,AEG02_2012,ALB,AEG2,2012,1331.628485,566,78,15,0,0,0,70,13,1168.630511,8,2,162.9979743,3.28,-0.247100331
grassland,annual,AEG02_2013,ALB,AEG2,2013,1427.469419,298,57,22,7,5,890.2750429,50,17,537.1943761,0,0,0,3.28,-0.070628583
grassland,annual,AEG02_2014,ALB,AEG2,2014,2585.77077,1220,92,23,12,5,79.30091845,75,16,2412.911911,5,2,93.55794031,3.28,1.872861083
grassland,annual,AEG02_2015,ALB,AEG2,2015,1670.843024,295,73,22,4,4,350.6471352,69,18,1320.195889,0,0,0,3.28,1.0678125
grassland,annual,AEG02_2016,ALB,AEG2,2016,2214.268141,324,29,16,3,2,28.55004692,25,13,2089.243,1,1,96.47509482,3.28,3.155000165
grassland,annual,AEG02_2017,ALB,AEG2,2017,1565.745332,703,62,28,11,7,386.0704068,51,21,1179.674925,0,0,0,3.28,0.133354333
grassland,annual,AEG03_2008,ALB,AEG3,2008,9743.414266,1457,476,39,8,3,412.2986927,457,35,9078.987454,11,1,252.1281196,1.77,0.784817273
