Family,Species,Sub,Author
Calypogeiaceae,species:Calypogeia sub:fissa,fissa,(L.) Raddi
Conocephalaceae,species:Conocephallum sub:saleborosum,salebrosum,"Szweyk., Buczk. et Odrzyk."
Lophocoleaceae,species:Heteroscyphus sub:zollingeri,zollingeri,(Gottsche) Schiffn.
Marchantiaceae,species:Marchantia sub:emarginata,emarginata,"Reinw., Blume et Nees"
Acrobolbaceae,species:Notoscyphus sub:lutescens,lutescens,(Lehm. et Lindenb.) Mitt.
Polytrichaceae,species:Atrichum sub:subserratum,subserratum,(Harv. et Hook. f.) Mitt.
Pottiaceae,species:Barbula sub:unguiculata,unguiculata,Hedw.
Bryaceae,species:Bryum sub:argenteum,argenteum,Hedw.
Leucobryaceae,species:Campylopus sub:atrovirens,atrovirens,De Not.
Dicranellaceae,species:Dicranella sub:heteromalla,heteromalla,(Hedw.) Schimp.
Pottiaceae,species:Didymodon sub:constrictus,constrictus,(Mitt.) K. Saito
Pottiaceae,species:Didymodon sub:ditrichoides,ditrichoides,(Broth.) X.J. Li et S. He
Ditrichaceae,species:Ditrichum sub:pallidum,pallidum,(Hedw.) Hampe
Entodontaceae,species:Entodon sub:spec.,spec.,sterile
Hypnaceae,species:Hypnum sub:cupressiforme,cupressiforme,Hedw.
Hypnaceae,species:Hypnum sub:macrogynum,macrogynum,Besch.
Leucobryaceae,species:Leucobryum sub:juniperoideum,juniperoideum,(Brid.) MÃ¼ll. Hal.
Bartramiaceae,species:Philonotis sub:marchica,marchica,(Hedw.) Brid.
Bartramiaceae,species:Philonotis sub:mollis,mollis,(Dozy et Molk.) Mitt.
Bartramiaceae,species:Philonotis sub:roylei,roylei,(Hook. f.) Mitt.
Mniaceae,species:Plagiomnium sub:acutum,acutum,(Lindb.) T.J. Kop.
Polytrichaceae,species:Pogonatum sub:inflexum,inflexum,(Lindb.) Sande Lac.
Thuidiaceae,species:Thuidium sub:glaucinoides,glaucinoides,Broth.
Mniaceae,species:Trachycystis sub:microphylla,microphylla,(Dozy et Molk.) Lindb.
Pottiaceae,species:Trichostomum sub:crispulum,crispulum,Bruch
