,table_id,target_column,annotation_id,annotation_label
1904,GitTables_1501,6,http://dbpedia.org/ontology/author,author
1905,GitTables_1501,10,http://dbpedia.org/ontology/created,created
1906,GitTables_1501,0,http://dbpedia.org/ontology/id,id
1907,GitTables_1501,3,http://dbpedia.org/ontology/parent,parent
1908,GitTables_1501,7,http://dbpedia.org/ontology/title,title
1909,GitTables_1501,1,http://dbpedia.org/ontology/type,type
1910,GitTables_1502,6,http://dbpedia.org/ontology/author,author
1911,GitTables_1502,10,http://dbpedia.org/ontology/created,created
1912,GitTables_1502,0,http://dbpedia.org/ontology/id,id
1913,GitTables_1502,3,http://dbpedia.org/ontology/parent,parent
1914,GitTables_1502,7,http://dbpedia.org/ontology/title,title
1915,GitTables_1502,1,http://dbpedia.org/ontology/type,type
1916,GitTables_1503,7,http://dbpedia.org/ontology/length,length
1917,GitTables_1503,2,http://dbpedia.org/ontology/state,state
1918,GitTables_1503,1,http://dbpedia.org/ontology/type,type
1919,GitTables_1503,8,http://dbpedia.org/ontology/width,width
1920,GitTables_1504,2,http://dbpedia.org/ontology/description,description
1921,GitTables_1504,6,http://dbpedia.org/ontology/reference,reference
1922,GitTables_1508,1,http://dbpedia.org/ontology/title,title
1923,GitTables_1508,2,http://dbpedia.org/ontology/writer,writer
1924,GitTables_1508,3,http://dbpedia.org/ontology/year,year
1925,GitTables_1511,7,http://dbpedia.org/ontology/length,length
1926,GitTables_1511,2,http://dbpedia.org/ontology/state,state
1927,GitTables_1511,1,http://dbpedia.org/ontology/type,type
1928,GitTables_1511,8,http://dbpedia.org/ontology/width,width
1929,GitTables_1512,0,http://dbpedia.org/ontology/field,field
1930,GitTables_1512,3,http://dbpedia.org/ontology/type,type
1931,GitTables_1516,2,http://dbpedia.org/ontology/class,class
1932,GitTables_1516,14,http://dbpedia.org/ontology/dam,dam
1933,GitTables_1517,6,http://dbpedia.org/ontology/author,author
1934,GitTables_1517,10,http://dbpedia.org/ontology/created,created
1935,GitTables_1517,0,http://dbpedia.org/ontology/id,id
1936,GitTables_1517,3,http://dbpedia.org/ontology/parent,parent
1937,GitTables_1517,7,http://dbpedia.org/ontology/title,title
1938,GitTables_1517,1,http://dbpedia.org/ontology/type,type
1939,GitTables_1518,6,http://dbpedia.org/ontology/author,author
1940,GitTables_1518,10,http://dbpedia.org/ontology/created,created
1941,GitTables_1518,0,http://dbpedia.org/ontology/id,id
1942,GitTables_1518,3,http://dbpedia.org/ontology/parent,parent
1943,GitTables_1518,7,http://dbpedia.org/ontology/title,title
