fileName,colName,vals,fine_grained_label
T2DV2_212.csv,Citations,"1780, 1732, 1080, 1053, 948, 794, 653, 593, 511, 490, 416, 409, 376, 361, 358, 315, 312, 311, 310, 302, 300, 254, 253, 241, 232, 202, 202, 192, 188, 185, 185, 181, 177, 172, 166, 166, 165, 165, 164, 162, 155, 153, 146, 143, 142, 134, 132, 130, 129, 129",Citations
T2DV2_185.csv,Embargo Period in Months,"12, 6, 12, No Specific Information, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, No Specific Information, 6, 12, 12, 12, 12, 12, 12, 6, No Specific Information, No Specific Information, 12, 12, 12, 12, 12, 12, 6, 12, 6, 12, 12, 12, 12, 12, 12, 12, 6, No Specific Information, 12, 12",Embargo Period in Months
T2DV2_185.csv,Journal Name,"ACADEMIC EMERGENCY MEDICINE, AMERICAN JOURNAL OF GASTROENTEROLOGY, AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY, AMERICAN SURGEON, ANALYTICAL CHEMISTRY, ANNALS OF EMERGENCY MEDICINE, APPLIED PHYSICS LETTERS, ASTROPHYSICAL JOURNAL, ATMOSPHERIC ENVIRONMENT, BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS, BIOCHEMISTRY, BIOLOGICAL PSYCHIATRY, BIOPHYSICAL JOURNAL, BRAIN RESEARCH, CANCER, CANCER EPIDEMIOLOGY, BIOMARKERS & PREVENTION, CANCER RESEARCH, CHEST, CIRCULATION, CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES, DEVELOPMENT, DEVELOPMENTAL BIOLOGY, ENVIRONMENTAL SCIENCE & TECHNOLOGY, EPILEPSIA, EUROPEAN JOURNAL OF NEUROSCIENCE, EXPERIMENTAL NEUROLOGY, FASEB JOURNAL, GENETICS, GEOPHYSICAL RESEARCH LETTERS, GLOBAL BIOGEOCHEMICAL CYCLES, GLOBAL CHANGE BIOLOGY, GYNECOLOGIC ONCOLOGY, IEEE TRANSACTIONS ON NUCLEAR SCIENCE, INTEGRATIVE AND COMPARATIVE BIOLOGY, INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY, INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE, JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION, JOURNAL OF APPLIED PHYSIOLOGY, JOURNAL OF BACTERIOLOGY, JOURNAL OF BIOLOGICAL CHEMISTRY, JOURNAL OF BIOMEDICAL OPTICS, JOURNAL OF CHEMICAL PHYSICS, JOURNAL OF CLINICAL ONCOLOGY, JOURNAL OF COMPARATIVE NEUROLOGY, JOURNAL OF COMPUTATIONAL PHYSICS, JOURNAL OF ENDOUROLOGY, JOURNAL OF EXPERIMENTAL BIOLOGY, JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES, JOURNAL OF IMMUNOLOGY, JOURNAL OF INVESTIGATIVE MEDICINE",Journal
T2DV2_212.csv,Journal,"Science, Nature, Proceedings of the National Academy of Sciences of the United States of America, royal gazette, New England Journal of Medicine, The Astrophysical Journal, The Journal of Biological Chemistry, The Lancet, Journal of the American Medical Association, British Medical Journal, Zootaxa, Bulletins of American Paleontology, Icarus, International Journal of Solar System Studies, Cell, Journal of the American Chemical Society, The Astronomical Journal, Molecular and Cellular Biology, Nucleic Acids Research, nan, Annals of Internal Medicine, Astronomy & Astrophysics, Tissue Antigens, Pediatrics, The Cochrane Database of Systematic Reviews, Neurology, The American Journal of Psychiatry, Physical Review Letters, International Journal of Systematic and Evolutionary Microbiology, The Journal of Virology, The American Journal of Clinical Nutrition, The New York Times, Monthly Notices of the Royal Astronomical Society, Clinical Infectious Diseases, Australian Systematic Botany, hm magazine, The American Journal of Human Genetics, The Journal of Bacteriology, The EMBO Journal, Blood, Journal of Molecular Biology, Nature Genetics, Circulation, The Journal of Vertebrate Paleontology, Archives of Internal Medicine, white dwarf, The Journal of Neuroscience, Copeia, The Journal of Immunology, The Journal of Clinical Investigation, Current Biology",Journal
T2DV2_212.csv,#,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",Number of journals
T2DV2_185.csv,Optional Fee for Immediate Access,"Yes, Yes, Yes, No Specific Information, Yes, Yes, Yes, No Specific Information, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, No, Yes, No Specific Information, No Specific Information, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, No, Yes, Yes, No Specific Information, No Specific Information, Yes, No Specific Information, Yes, Yes, Yes, No Specific Information, Yes, Yes, Yes, Yes, Yes, No Specific Information, No Specific Information",Optional Fee for Immediate Access
T2DV2_185.csv,PMC Deposit Policy,"Yes, Yes, Yes, No Specific Policy, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No Specific Policy, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No Specific Policy, No Specific Policy, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No Specific Policy, Yes, Yes",PMC Deposit Policy
T2DV2_185.csv,Publisher Link to NIH Policy Page or Related Policy,"WILEY-BLACKWELL, NATURE PUBLISHING GROUP, AMERICAN PHYSIOLOGICAL SOCIETY, SOUTHEASTERN SURGICAL CONGRESS, AMERICAN CHEMICAL SOCIETY, ELSEVIER, AMERICAN INSTITUTE OF PHYSICS, UNIVERSITY OF CHICAGO PRESS, ELSEVIER, ELSEVIER, AMERICAN CHEMICAL SOCIETY, ELSEVIER, CELL PRESS, ELSEVIER, WILEY, AMERICAN ASSOCIATION OF CANCER RESEARCH, AMERICAN ASSOCIATION OF CANCER RESEARCH, AMERICAN COLLEGE OF CHEST PHYSICIANS, WOLTERS KLUWER HEALTH / LIPPINCOTT, TECH SCIENCE PRESS, THE COMPANY OF BIOLOGISTS LTD, ELSEVIER, AMERICAN CHEMICAL SOCIETY, WILEY-BLACKWELL, WILEY-BLACKWELL, ELSEVIER, FEDERATION OF AMERICAN SOCIETIES FOR EXPERIMENTAL BIOLOGISTS, GENETICS SOCIETY OF AMERICA, AMERICAN GEOPHYSICAL UNION, AMERICAN GEOPHYSICAL UNION, WILEY-BLACKWELL, ELSEVIER, IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, OXFORD UNIVERSITY PRESS INC, CAMBRIDGE UNIVERSITY PRESS, ASSOCIATION FOR RESEARCH IN VISION AND OPHTHALMOLOGY INC, AMERICAN MEDICAL ASSOCIATION, AMERICAN PHYSIOLOGICAL SOCIETY, AMERICAN SOCIETY FOR MICROBIOLOGY, AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY, SOCIETY OF PHOTOPTICAL INSTRUMENTATION ENGINEERS **, AMERICAN INSTITUTE OF PHYSICS, AMERICAN SOCIETY OF CLINICAL ONCOLOGY, WILEY, ELSEVIER, MARY ANN LIEBERT INC, THE COMPANY OF BIOLOGISTS LTD, AMERICAN GEOPHYSICAL UNION, AMERICAN ASSOCIATION OF IMMUNOLOGISTS, LIPPINCOTT WILLIAMS & WILKINS",publisher_AcademicJournal
T2DV2_185.csv,Who Deposits to PMC,"Publisher Only, Publisher OR Author, Publisher Only, No Specific Information, Publisher OR Author, Publisher Only, Publisher Only, Author Only, Publisher Only, Publisher Only, Publisher OR Author, Publisher Only, Publisher Only, Publisher Only, Publisher Only, Publisher OR Author, Publisher OR Author, Publisher Only, Publisher Only, No Specific Information, Publisher Only, Publisher Only, Publisher OR Author, Publisher Only, Publisher Only, Publisher Only, Publisher Only, Publisher Only, No Specific Information, No Specific Information, Publisher Only, Publisher Only, Author Only, Publisher Only, Author Only, Publisher OR Author, Author Only, Publisher Only, Publisher Only, Publisher Only, Publisher Only, Publisher Only, Publisher Only, Publisher Only, Publisher Only, Publisher Only, Publisher only, No Specific Information, Author Only, Publisher Only",Who Deposits to PMC
SOTAB_113.csv,1,,#NAME?
